dt,x,z,vx,vz
1665166790.85, 50.6580505371, -23.7325401306, 3.04222069758e-08, -1.42523495228e-08,
0.008783, 50.6519966125, -23.7340736389, -0.689277589321, -0.174599602818,
0.009103, 50.6433410645, -23.7381038666, -0.950845658779, -0.442736208439,
0.009033, 50.6355514526, -23.7388935089, -0.862350463867, -0.0874175056815,
0.009004, 50.6260032654, -23.745475769, -1.06043839455, -0.731037378311,
0.009067, 50.6218528748, -23.7390441895, -0.457746863365, 0.70933932066,
0.009091, 50.6178474426, -23.7327899933, -0.440593123436, 0.68795466423,
0.008936, 50.6122131348, -23.7213611603, -0.63051789999, 1.27896523476,
0.009141, 50.6023979187, -23.7206497192, -1.07375741005, 0.0778296738863,
0.008934, 50.5845947266, -23.7248477936, -1.99274599552, -0.469898641109,
0.009255, 50.5683097839, -23.715593338, -1.75958311558, 0.999941110611,
0.009006, 50.55210495, -23.7117004395, -1.79933750629, 0.432256102562,
0.008868, 50.5402488708, -23.7021999359, -1.33695077896, 1.07132434845,
0.009097, 50.5222129822, -23.7012214661, -1.982619524, 0.107559621334,
0.008971, 50.5025749207, -23.7044639587, -2.1890604496, -0.361441612244,
0.00914, 50.479675293, -23.7164611816, -2.50542974472, -1.3126064539,
0.009167, 50.4617271423, -23.7172203064, -1.957908988, -0.0828106030822,
0.0088, 50.4454498291, -23.7100696564, -1.84969472885, 0.812573850155,
0.009055, 50.4178237915, -23.7200813293, -3.05091524124, -1.10565137863,
0.009027, 50.3914070129, -23.7363643646, -2.92641854286, -1.80381476879,
0.009049, 50.3696174622, -23.7458648682, -2.40795111656, -1.04989540577,
0.009127, 50.3454093933, -23.7612609863, -2.65235757828, -1.68687605858,
0.008941, 50.3233375549, -23.7739219666, -2.46860957146, -1.41605854034,
0.009105, 50.3037872314, -23.7835941315, -2.14720749855, -1.06229162216,
0.008988, 50.2857589722, -23.7919387817, -2.00581431389, -0.928421199322,
0.009116, 50.267665863, -23.8091316223, -1.98476409912, -1.88600718975,
0.008942, 50.2519950867, -23.8228797913, -1.75249123573, -1.53748261929,
0.009155, 50.2382926941, -23.8360404968, -1.49671137333, -1.43754303455,
0.008971, 50.237613678, -23.8337268829, -0.0756901279092, 0.257899224758,
0.009063, 50.2365875244, -23.8287582397, -0.113224491477, 0.548233866692,
0.009019, 50.239074707, -23.8196678162, 0.275771439075, 1.00791919231,
0.009046, 50.2405853271, -23.8032970428, 0.166993156075, 1.80972504616,
0.009079, 50.2302017212, -23.7993946075, -1.14369487762, 0.42983096838,
0.009043, 50.2271156311, -23.7835521698, -0.341268390417, 1.75190067291,
0.009097, 50.2236862183, -23.7628307343, -0.376982837915, 2.27783179283,
0.009032, 50.2097358704, -23.7556743622, -1.54454696178, 0.792335271835,
0.009095, 50.1922187805, -23.751909256, -1.92601311207, 0.413975387812,
0.008947, 50.169342041, -23.7511100769, -2.55691742897, 0.0893236920238,
0.009062, 50.1435928345, -23.7504997253, -2.84144854546, 0.0673528537154,
0.009061, 50.1278915405, -23.7447776794, -1.73284327984, 0.631502687931,
0.009054, 50.1153030396, -23.7348880768, -1.39038014412, 1.09229099751,
0.008966, 50.1084976196, -23.723613739, -0.759025216103, 1.25745463371,
0.009161, 50.1067886353, -23.7091903687, -0.186549976468, 1.57443189621,
0.00902, 50.1028327942, -23.6985874176, -0.43856331706, 1.17549347878,
0.009007, 50.0925674438, -23.6896648407, -1.13970804214, 0.99062693119,
0.008996, 50.0846252441, -23.680109024, -0.882859051228, 1.06222951412,
0.009018, 50.0786705017, -23.6710777283, -0.660317420959, 1.00147438049,
0.008961, 50.0716629028, -23.6649265289, -0.782010853291, 0.68644118309,
0.009011, 50.0632095337, -23.6592578888, -0.93811661005, 0.62907999754,
0.009057, 50.0593261719, -23.6529445648, -0.428769081831, 0.697065651417,
0.008996, 50.0547637939, -23.6454105377, -0.507156312466, 0.837486386299,
0.009095, 50.0512657166, -23.636013031, -0.384615421295, 1.03326070309,
0.008985, 50.0514755249, -23.6183109283, 0.0233509577811, 1.97018396854,
0.009138, 50.0528450012, -23.6013832092, 0.149866089225, 1.85245335102,
0.008926, 50.0584487915, -23.5880374908, 0.627805292606, 1.49515104294,
0.009045, 50.0595359802, -23.5749988556, 0.120197758079, 1.44152963161,
0.009098, 50.063243866, -23.5619125366, 0.40754956007, 1.43837320805,
0.008998, 50.0663490295, -23.551700592, 0.3450948596, 1.13491272926,
0.009122, 50.0673561096, -23.547328949, 0.110401235521, 0.479241728783,
0.009049, 50.0651397705, -23.5427494049, -0.244926407933, 0.506082892418,
0.008933, 50.0625038147, -23.5369167328, -0.295080691576, 0.652935385704,
0.009054, 50.0562286377, -23.5314388275, -0.693083405495, 0.605026006699,
0.009001, 50.0474586487, -23.5309047699, -0.974334955215, 0.0593331418931,
0.009194, 50.0391464233, -23.51912117, -0.904092431068, 1.2816619873,
0.008901, 50.0318336487, -23.5077171326, -0.821567773819, 1.28120851517,
0.009035, 50.0178108215, -23.500213623, -1.55205619335, 0.830493628979,
0.009099, 50.0044136047, -23.4978675842, -1.47238337994, 0.257834792137,
0.009075, 49.9973983765, -23.494430542, -0.773027896881, 0.378737449646,
0.009039, 49.9944877625, -23.4916248322, -0.322006195784, 0.310400485992,
0.009037, 49.9898338318, -23.4875240326, -0.514986217022, 0.453778862953,
0.00903, 49.9842681885, -23.4841022491, -0.616350293159, 0.378935039043,
0.008991, 49.9780731201, -23.4828968048, -0.689029932022, 0.134072333574,
0.008977, 49.9750709534, -23.4816951752, -0.334428757429, 0.133856490254,
0.009583, 49.9722442627, -23.4810085297, -0.294969290495, 0.071652457118,
0.008536, 49.9688186646, -23.4797172546, -0.40131187439, 0.15127402544,
0.009146, 49.9675636292, -23.4770240784, -0.137222319841, 0.294464915991,
0.008925, 49.9678077698, -23.4719142914, 0.0273546911776, 0.572525143623,
0.009083, 49.9660377502, -23.4660892487, -0.19487169385, 0.641312658787,
0.008974, 49.9653205872, -23.4637203217, -0.0799156576395, 0.263976722956,
0.009056, 49.9653663635, -23.4587421417, 0.00505481101573, 0.549710690975,
0.009046, 49.9657325745, -23.4533805847, 0.0404831878841, 0.592699170113,
