dt,x,z,vx,vz
1665159965.25, 44.3462867737, -18.135055542, 2.66318487263e-08, -1.08908793095e-08,
0.008659, 44.3733901978, -18.1300315857, 3.13008713722, 0.58020055294,
0.008681, 44.3976173401, -18.1339702606, 2.79082393646, -0.453712105751,
0.008687, 44.4197273254, -18.1443061829, 2.54518079758, -1.18981492519,
0.008704, 44.4374160767, -18.1518325806, 2.03225541115, -0.864705622196,
0.008633, 44.4561271667, -18.1610107422, 2.16739153862, -1.06314861774,
0.008676, 44.4696846008, -18.1715698242, 1.56263649464, -1.21704494953,
0.008952, 44.489528656, -18.1738166809, 2.21671748161, -0.250989347696,
0.008524, 44.5122566223, -18.1786785126, 2.66634988785, -0.570369780064,
0.008525, 44.5828285217, -18.2628479004, 8.27822875977, -9.87324237823,
0.008683, 44.6476173401, -18.3269672394, 7.46157073975, -7.38446855545,
0.008677, 44.6929702759, -18.3807964325, 5.22679901123, -6.20366382599,
0.008685, 44.7370185852, -18.4175567627, 5.07176828384, -4.23262262344,
0.008662, 44.7720222473, -18.4444408417, 4.04105997086, -3.10368013382,
0.008905, 44.7994651794, -18.4703865051, 3.08174419403, -2.91360616684,
0.008557, 44.8198852539, -18.4939975739, 2.38635897636, -2.75926947594,
0.008691, 44.8372421265, -18.5179786682, 1.9971088171, -2.75930213928,
0.008601, 44.8502502441, -18.5407676697, 1.51239597797, -2.64957594872,
0.008673, 44.8624382019, -18.5546779633, 1.40527582169, -1.60386180878,
0.008609, 44.8720855713, -18.567522049, 1.12061440945, -1.49193704128,
0.008691, 44.8833084106, -18.5790882111, 1.29131746292, -1.33082067966,
0.008641, 44.8981208801, -18.5923213959, 1.71420776844, -1.53144133091,
0.008683, 44.9056777954, -18.6057701111, 0.870311558247, -1.54885590076,
0.008668, 44.9170684814, -18.6162433624, 1.31410777569, -1.20826625824,
0.008688, 44.9323310852, -18.6255283356, 1.75674533844, -1.06871235371,
0.008661, 44.9490852356, -18.6338024139, 1.93443596363, -0.955325961113,
0.008658, 44.9610328674, -18.6413879395, 1.37995278835, -0.876129031181,
0.008751, 44.9837112427, -18.646522522, 2.59151816368, -0.586742341518,
0.008664, 45.0194396973, -18.6502246857, 4.12378311157, -0.427304208279,
0.008623, 45.054309845, -18.6557807922, 4.04385328293, -0.64433568716,
0.00865, 45.1060409546, -18.6561660767, 5.98047494888, -0.0445415526628,
0.00869, 45.1564826965, -18.6563396454, 5.80457353592, -0.0199733879417,
0.008947, 45.2046089172, -18.6553649902, 5.3790345192, 0.108936533332,
0.008465, 45.2437858582, -18.6564369202, 4.62810850143, -0.126630812883,
0.008643, 45.2705345154, -18.6590576172, 3.09483456612, -0.303216129541,
0.008684, 45.2883110046, -18.6635303497, 2.0470392704, -0.515054404736,
0.008713, 45.2997169495, -18.6690826416, 1.30907201767, -0.637242257595,
0.008566, 45.3080787659, -18.6742267609, 0.976163506508, -0.600527584553,
0.008655, 45.3048858643, -18.6744155884, -0.368908345699, -0.0218171607703,
0.00872, 45.2950057983, -18.6381874084, -1.13303506374, 4.15460777283,
0.008888, 45.2824134827, -18.6016025543, -1.41677725315, 4.11620807648,
0.008442, 45.25831604, -18.558303833, -2.85447096825, 5.12896490097,
0.008773, 45.2355766296, -18.5154895782, -2.59197664261, 4.88022947311,
0.008563, 45.216545105, -18.4710178375, -2.22253012657, 5.19347667694,
0.008669, 45.1844329834, -18.4306087494, -3.70424747467, 4.66133213043,
0.008798, 45.1629295349, -18.3800907135, -2.44412899017, 5.74199056625,
0.00862, 45.1460456848, -18.3310527802, -1.95868325233, 5.6888551712,
0.008657, 45.1331253052, -18.2815876007, -1.49247777462, 5.71389389038,
0.00872, 45.1214179993, -18.2382278442, -1.3425809145, 4.97244882584,
0.008552, 45.1106033325, -18.1990337372, -1.26457750797, 4.58303403854,
0.008792, 45.0995521545, -18.1638622284, -1.25695836544, 4.0003991127,
0.008596, 45.0848617554, -18.1363239288, -1.70898079872, 3.2036178112,
0.008861, 45.0664291382, -18.1154022217, -2.0801961422, 2.36110019684,
0.008524, 45.0530662537, -18.0968914032, -1.56767773628, 2.17161178589,
0.008661, 45.0350379944, -18.0821285248, -2.0815448761, 1.70452356339,
0.008657, 45.0121917725, -18.0699062347, -2.63904595375, 1.41183900833,
0.008626, 44.9807548523, -18.0662441254, -3.64443778992, 0.424543172121,
0.009474, 44.9435348511, -18.06183815, -3.92864704132, 0.465059667826,
0.007901, 44.9107131958, -18.0574150085, -4.15411424637, 0.559820473194,
0.008739, 44.8678817749, -18.0596466064, -4.90118074417, -0.255360782146,
0.008742, 44.8275413513, -18.0706310272, -4.6145529747, -1.2565112114,
0.008727, 44.8035926819, -18.072145462, -2.74420404434, -0.173534408212,
0.008635, 44.7942428589, -18.0606441498, -1.08278203011, 1.33194112778,
0.008826, 44.7833061218, -18.0503253937, -1.23914992809, 1.16913175583,
0.010094, 44.7664794922, -18.0491333008, -1.66699326038, 0.118099160492,
0.00703, 44.7583351135, -18.0511798859, -1.15851759911, -0.291121631861,
0.008669, 44.7354431152, -18.0629024506, -2.64067339897, -1.35223948956,
0.008639, 44.7195739746, -18.0705852509, -1.83691859245, -0.889315903187,
0.008767, 44.6992416382, -18.0862579346, -2.31918954849, -1.78769052029,
0.008668, 44.6825065613, -18.1060810089, -1.93067336082, -2.28692603111,
0.025959, 44.6185379028, -18.1627178192, -2.4642188549, -2.18177938461,
0.00857, 44.5954933167, -18.1835441589, -2.6889834404, -2.43014478683,
0.008758, 44.5599250793, -18.2166881561, -4.0612282753, -3.78442525864,
0.008581, 44.508808136, -18.2632293701, -5.95699119568, -5.42375135422,
0.00869, 44.4715805054, -18.3004207611, -4.28396224976, -4.27979183197,
0.008904, 44.4402542114, -18.3355865479, -3.51822710037, -3.94943714142,
0.008473, 44.4100532532, -18.3626213074, -3.5643761158, -3.1906952858,
0.008776, 44.4091911316, -18.3816318512, -0.0982362776995, -2.16619682312,
0.008538, 44.4072418213, -18.3980255127, -0.228309929371, -1.92008209229,
0.008688, 44.3866195679, -18.4283924103, -2.37364792824, -3.49526906013,
0.008655, 44.3911857605, -18.446937561, 0.5275785923, -2.14270973206,
0.008867, 44.374168396, -18.4863204956, -1.91917943954, -4.44151735306,
0.008473, 44.3573493958, -18.5204162598, -1.98501133919, -4.02404880524,
0.00867, 44.3515281677, -18.5476512909, -0.67142188549, -3.14129519463,
0.008655, 44.3536758423, -18.5706195831, 0.248142659664, -2.65375995636,
0.008752, 44.3296470642, -18.6002197266, -2.74551868439, -3.38210058212,
0.008631, 44.2881126404, -18.6382980347, -4.81223773956, -4.41180706024,
0.008662, 44.251373291, -18.6738052368, -4.2414393425, -4.09919214249,
0.008698, 44.2074394226, -18.7081451416, -5.05103111267, -3.94802331924,
0.00871, 44.1790046692, -18.7336597443, -3.26461005211, -2.92934608459,
0.008681, 44.1512680054, -18.7645893097, -3.19510006905, -3.56290340424,
0.008588, 44.121181488, -18.8004226685, -3.50332045555, -4.17249155045,
0.008728, 44.0901298523, -18.8352451324, -3.55770325661, -3.98974132538,
0.008664, 44.0589866638, -18.8704814911, -3.59455084801, -4.06698513031,
0.008643, 44.0371246338, -18.8990287781, -2.52944922447, -3.30293703079,
0.008646, 44.0297966003, -18.9202327728, -0.847563445568, -2.45246291161,
0.00871, 44.0636787415, -18.9199008942, 3.89002776146, 0.0381031781435,
0.008734, 44.1318054199, -18.9011688232, 7.80016946793, 2.14472985268,
0.008586, 44.2055931091, -18.8674259186, 8.5939540863, 3.92999124527,
0.008656, 44.2910728455, -18.8296947479, 9.87520122528, 4.35896158218,
0.008888, 44.3407363892, -18.8043766022, 5.58770751953, 2.8485763073,
0.00856, 44.4210281372, -18.7527389526, 9.37987709045, 6.03243589401,
0.008654, 44.452167511, -18.7370414734, 3.59826350212, 1.81389868259,
0.008648, 44.4353599548, -18.6782779694, -1.94351947308, 6.79504013062,
0.00863, 44.4282722473, -18.6413822174, -0.821287095547, 4.27529001236,
0.008661, 44.4499435425, -18.5834064484, 2.50217008591, 6.69388866425,
0.008702, 44.5136833191, -18.5195617676, 7.32472753525, 7.33678293228,
0.008853, 44.5584640503, -18.4647407532, 5.05825519562, 6.1923661232,
0.008538, 44.6388397217, -18.406496048, 9.41387557983, 6.82182025909,
0.008747, 44.7226715088, -18.3496322632, 9.58406162262, 6.5009469986,
0.008542, 44.80727005, -18.3015727997, 9.90383243561, 5.62625408173,
0.008645, 44.8876838684, -18.258102417, 9.30177211761, 5.02838420868,
0.008889, 44.9363441467, -18.2275791168, 5.47421312332, 3.43382835388,
0.008453, 44.9846115112, -18.1903343201, 5.71008682251, 4.40610361099,
0.008711, 45.0214653015, -18.1574039459, 4.23071861267, 3.7803208828,
0.008648, 45.0313873291, -18.1368579865, 1.14732050896, 2.37580490112,
0.008666, 45.0365715027, -18.1201648712, 0.598219871521, 1.92627680302,
0.008742, 45.0331726074, -18.1061191559, -0.388800650835, 1.60669362545,
0.008573, 45.0312423706, -18.0944213867, -0.225153014064, 1.36448955536,
0.008711, 45.0274925232, -18.0840415955, -0.430472671986, 1.19157290459,
0.008668, 45.0229797363, -18.0781707764, -0.520626068115, 0.677298009396,
0.008656, 45.0216140747, -18.0528259277, -0.157770529389, 2.92800927162,
0.008696, 45.0305519104, -18.0434246063, 1.02780997753, 1.08110868931,
0.008613, 45.027179718, -18.0346031189, -0.391523569822, 1.0242061615,
0.009119, 45.0167121887, -18.0266056061, -1.14788126945, 0.877016425133,
0.008267, 45.0081100464, -18.0163974762, -1.04053974152, 1.23480463028,
0.008682, 45.0002365112, -18.0030956268, -0.906880319118, 1.53211808205,
0.008704, 44.9733314514, -18.011089325, -3.09111428261, -0.918393611908,
0.008762, 44.9460411072, -18.0201015472, -3.11462497711, -1.0285576582,
0.008792, 44.9190406799, -18.0291290283, -3.07102227211, -1.02678358555,
0.008479, 44.8915100098, -18.0370731354, -3.24692416191, -0.936915576458,
0.008698, 44.866191864, -18.0434589386, -2.91080093384, -0.734169185162,
0.008701, 44.8649559021, -18.0359077454, -0.142048254609, 0.867853462696,
0.008758, 44.8612518311, -18.0382080078, -0.422935724258, -0.262647002935,
0.008638, 44.8539047241, -18.0397567749, -0.850556492805, -0.179296955466,
0.008712, 44.8397064209, -18.0340194702, -1.62974095345, 0.658551931381,
0.008694, 44.8250274658, -18.0156860352, -1.68840074539, 2.10874581337,
0.008492, 44.8119087219, -17.9107761383, -1.54483556747, 12.3539676666,
0.008815, 44.8157844543, -17.863067627, 0.439674705267, 5.4121966362,
0.008535, 44.8285522461, -17.7822284698, 1.49593353271, 9.47148895264,
0.008743, 44.8621940613, -17.6708240509, 3.84785699844, 12.7421274185,
0.008541, 44.8902282715, -17.5615272522, 3.282310009, 12.7967214584,
0.008764, 44.8737564087, -17.3836479187, -1.8794914484, 20.2965927124,
0.008749, 44.8610534668, -17.2514533997, -1.45193076134, 15.1096725464,
0.008618, 44.84815979, -17.150302887, -1.49613332748, 11.737121582,
0.008695, 44.8416442871, -17.0746898651, -0.749339044094, 8.69614982605,
0.008604, 44.8330879211, -17.0752258301, -0.994463682175, -0.0622925311327,
0.00864, 44.8082237244, -17.0826015472, -2.87780070305, -0.853671014309,
0.008674, 44.7205581665, -17.2448482513, -10.1067047119, -18.7049446106,
0.008742, 44.5762863159, -17.5623016357, -16.5032997131, -36.3135871887,
0.008665, 44.1421928406, -18.0729866028, -50.0973434448, -58.9365234375,
0.008653, 43.7599868774, -18.719461441, -44.1703414917, -74.7110671997,
0.008598, 43.3223648071, -19.4618434906, -50.8981246948, -86.3435745239,
0.00886, 42.9364395142, -20.1986522675, -43.5581588745, -83.1612548828,
0.008643, 42.6277999878, -20.8982639313, -35.7097663879, -80.9454650879,
0.008695, 42.2266082764, -21.6219100952, -46.1405067444, -83.2255554199,
0.008549, 41.6658554077, -22.412191391, -65.5928039551, -92.441368103,
0.008711, 41.2777328491, -23.3595714569, -44.5554542542, -108.756752014,
0.008603, 40.9658432007, -24.0488204956, -36.2535896301, -80.1172866821,
0.008795, 40.7670974731, -24.4830303192, -22.5975818634, -49.3700790405,
0.008555, 40.6436691284, -24.7671852112, -14.4276266098, -33.2150688171,
0.008721, 40.5288009644, -25.0156993866, -13.1714448929, -28.4960651398,
0.008714, 40.4394378662, -25.2040863037, -10.2551183701, -21.6188793182,
0.00856, 40.3959503174, -25.343542099, -5.08032131195, -16.2915649414,
0.008818, 40.3508071899, -25.4323539734, -5.11942958832, -10.0716581345,
0.008552, 40.3291511536, -25.4526977539, -2.53227734566, -2.3788330555,
0.008673, 40.3039245605, -25.3580665588, -2.90863513947, 10.9110107422,
0.008837, 40.2771720886, -25.2265319824, -3.02732515335, 14.8845291138,
0.00849, 40.3355064392, -25.0161476135, 6.87094831467, 24.7802562714,
0.008671, 40.3648452759, -24.8551235199, 3.38355875015, 18.5704193115,
0.00868, 40.3828277588, -24.7347164154, 2.07171463966, 13.8717861176,
0.008681, 40.3847999573, -24.4976177216, 0.227185621858, 27.3123703003,
0.008678, 40.3716583252, -24.2613239288, -1.51436173916, 27.2290592194,
0.008623, 40.3260116577, -24.076757431, -5.29359483719, 21.4039764404,
0.008815, 40.3422813416, -23.9344615936, 1.84568166733, 16.1424655914,
0.008565, 40.3397407532, -23.8636188507, -0.296624422073, 8.27118968964,
0.008657, 40.3143463135, -23.8069610596, -2.93339943886, 6.54473733902,
0.008714, 40.2920188904, -23.7853908539, -2.56224727631, 2.47535061836,
0.008623, 40.2864875793, -23.7778072357, -0.641460180283, 0.879463970661,
0.008679, 40.2603149414, -23.7846565247, -3.01562833786, -0.789179503918,
0.00876, 40.2297096252, -23.7950954437, -3.49375772476, -1.19165742397,
0.00871, 40.2075767517, -23.8006973267, -2.54108762741, -0.64315533638,
0.008542, 40.194770813, -23.8031978607, -1.49917328358, -0.292734026909,
0.008702, 40.1840782166, -23.8081912994, -1.22875165939, -0.573826551437,
0.008664, 40.1700019836, -23.8164958954, -1.62468063831, -0.958517551422,
0.008678, 40.1680831909, -23.849111557, -0.221110001206, -3.75843048096,
0.009092, 40.1680259705, -23.8631038666, -0.00629349518567, -1.53896927834,
0.008238, 40.1894302368, -23.8706378937, 2.59823584557, -0.914545655251,
0.008699, 40.2262992859, -23.8661136627, 4.23830890656, 0.520086348057,
0.008648, 40.2944984436, -23.8588294983, 7.88611936569, 0.842294692993,
0.008782, 40.3571090698, -23.826581955, 7.12942647934, 3.67200446129,
