dt,x,z,vx,vz
1665167029.51, -17.1859283447, -15.4497594833, -1.03208437352e-08, -9.27820398289e-09,
0.00793, -15.9535236359, -15.6552505493, 155.410430908, -25.9131221771,
0.008935, -14.9633150101, -15.7069911957, 110.823577881, -5.79078292847,
0.009155, -13.8399085999, -15.57259655, 122.709609985, 14.6799182892,
0.008951, -13.3765535355, -15.5811948776, 51.7657318115, -0.960599660873,
0.009036, -12.8057861328, -15.5989227295, 63.1659355164, -1.96191370487,
0.009081, -11.7233982086, -15.9267244339, 119.192588806, -36.097530365,
0.009016, -10.8210058212, -16.2446250916, 100.087890625, -35.2596130371,
0.008951, -9.87076950073, -16.341802597, 106.159797668, -10.8566093445,
0.009037, -8.70276165009, -16.3679275513, 129.247299194, -2.89088797569,
0.009008, -7.69163703918, -16.6804466248, 112.247406006, -34.6935043335,
0.009073, -5.99065160751, -16.582611084, 187.477722168, 10.7831516266,
0.009837, -4.89200019836, -16.4638900757, 111.685623169, 12.0688228607,
0.008219, -3.97898221016, -16.4481754303, 111.086265564, 1.91198992729,
0.009042, -2.96149921417, -16.4351520538, 112.528526306, 1.44032025337,
0.009043, -2.16786766052, -16.57513237, 87.7619781494, -15.4794120789,
0.009084, -1.09936654568, -16.5498218536, 117.624511719, 2.78627419472,
0.009035, 0.244505286217, -16.4504756927, 148.740661621, 10.9957017899,
0.009079, 1.43019390106, -16.2097663879, 130.596832275, 26.5127544403,
0.009006, 3.41563892365, -15.7490119934, 220.458023071, 51.160823822,
0.009044, 4.37774467468, -15.4413528442, 106.380554199, 34.0180397034,
0.009037, 5.23552370071, -15.2856702805, 94.9185562134, 17.2272396088,
0.009034, 6.56794118881, -14.7641859055, 147.489196777, 57.7246360779,
0.009026, 8.04310703278, -14.1928596497, 163.435165405, 63.297832489,
0.009481, 9.06463241577, -13.7805318832, 107.744476318, 43.4899024963,
0.008705, 10.4266643524, -13.2165269852, 156.46546936, 64.7909088135,
0.009019, 11.4324007034, -12.8365592957, 111.513061523, 42.1296882629,
0.009003, 12.381729126, -12.4616289139, 105.445785522, 41.6450462341,
0.009063, 14.0865402222, -11.5098381042, 188.106704712, 105.01940155,
0.009, 15.6524410248, -10.9089164734, 173.988983154, 66.7690734863,
0.009078, 16.9743728638, -10.2954616547, 145.619293213, 67.5759887695,
0.009113, 18.310760498, -9.55212688446, 146.646286011, 81.5686187744,
0.00895, 19.0499515533, -9.09530735016, 82.591178894, 51.0412902832,
0.009053, 19.5132369995, -8.76549243927, 51.1747970581, 36.4315605164,
0.009053, 20.0531959534, -8.08940124512, 59.6441993713, 74.6814498901,
0.008941, 20.4089012146, -7.61898088455, 39.7836074829, 52.6138381958,
0.009059, 20.6698226929, -7.08681154251, 28.8024597168, 58.7448234558,
0.009099, 21.295633316, -5.38468360901, 68.7779541016, 187.067581177,
0.008951, 21.716999054, -4.26407766342, 47.0747108459, 125.193382263,
0.00909, 22.3408584595, -2.84784817696, 68.631401062, 155.800827026,
0.009019, 22.3605613708, -1.98890519142, 2.18460035324, 95.2370452881,
0.009039, 22.4358463287, -0.809814810753, 8.32890415192, 130.444793701,
0.009006, 22.8909549713, 1.2148758173, 50.5339355469, 224.815750122,
0.009595, 22.5952262878, 2.80096554756, -30.8211231232, 165.303771973,
0.008546, 22.5045604706, 4.17243671417, -10.6091518402, 160.481063843,
0.008995, 22.1954708099, 5.47410154343, -34.3623847961, 144.70980835,
0.009044, 21.709564209, 6.05842113495, -53.7269592285, 64.6085357666,
0.009028, 21.2633991241, 6.92124795914, -49.4201469421, 95.5723114014,
0.009094, 20.4572124481, 8.39659786224, -88.6503982544, 162.233337402,
0.00906, 19.8889598846, 9.42780208588, -62.721031189, 113.819450378,
0.008957, 19.2474441528, 10.2193508148, -71.621711731, 88.3720779419,
0.009161, 18.8333530426, 11.2151126862, -45.2015190125, 108.695762634,
0.008879, 18.3819637299, 12.0156335831, -50.837852478, 90.1588973999,
0.009047, 17.802816391, 13.0852079391, -64.0154037476, 118.224205017,
0.009279, 17.3955249786, 13.7989759445, -43.8938941956, 76.9229507446,
0.008982, 17.1761245728, 14.220038414, -24.4266757965, 46.8784751892,
0.008969, 16.6614589691, 14.6450242996, -57.3827209473, 47.3838653564,
0.009095, 16.0403194427, 15.4100990295, -68.2946166992, 84.1203689575,
0.008894, 15.3917970657, 15.7860298157, -72.9168395996, 42.2679100037,
0.009162, 14.8022022247, 16.0566005707, -64.3521957397, 29.5318431854,
0.008963, 13.9986505508, 16.5467281342, -89.65209198, 54.6834259033,
0.008965, 13.1439256668, 16.8973827362, -95.3402023315, 39.1137313843,
